Street,Start_Lat,Start_Lng,Severity,Hour,Rush_Hour,Weather,City,ID
GT Road,34.015220460419876,71.52982648422497,2,8,1,Clear,Peshawar,P-25
GT Road,34.01395058158477,71.52405700355932,1,8,1,Fog,Peshawar,P-26
GT Road,34.01738564562903,71.52640386606538,2,22,0,Clear,Peshawar,P-27
GT Road,34.017910410611755,71.52768465150699,2,16,0,Clear,Peshawar,P-28
GT Road,34.01311892734974,71.52376740454079,2,6,0,Rain,Peshawar,P-29
GT Road,34.015118288691475,71.52416892140634,1,13,0,Cloudy,Peshawar,P-30
GT Road,34.01326115153153,71.52799986881004,2,15,0,Clear,Peshawar,P-31
GT Road,34.01438650994846,71.52601224359707,4,6,0,Clear,Peshawar,P-32
GT Road,34.011885033530874,71.52526926771706,3,17,1,Cloudy,Peshawar,P-33
GT Road,34.01221991710463,71.52728145451223,1,19,1,Fog,Peshawar,P-34
GT Road,34.01560098570069,71.525592896419,2,16,0,Rain,Peshawar,P-35
GT Road,34.015552576538994,71.52659480286516,3,5,0,Clear,Peshawar,P-36
GT Road,34.01883154902229,71.52584766584182,1,6,0,Cloudy,Peshawar,P-37
GT Road,34.01359764115067,71.52263914389376,3,8,1,Cloudy,Peshawar,P-38
GT Road,34.016744120319984,71.52869358596531,3,15,0,Rain,Peshawar,P-39
GT Road,34.016857347096376,71.52442081098361,1,9,1,Clear,Peshawar,P-40
GT Road,34.01457068633352,71.53034033833318,3,17,1,Cloudy,Peshawar,P-41
University Road,34.025051735222235,71.4903806816359,2,2,0,Cloudy,Peshawar,P-42
University Road,34.023606412563865,71.48587030555063,4,21,0,Rain,Peshawar,P-43
University Road,34.026720218480726,71.4890849577431,3,9,1,Clear,Peshawar,P-44
University Road,34.025416417436894,71.48661405940435,3,13,0,Clear,Peshawar,P-45
University Road,34.02338198380715,71.49166400920835,3,16,0,Cloudy,Peshawar,P-46
University Road,34.026330095372614,71.49660546298131,2,17,1,Rain,Peshawar,P-47
University Road,34.02576459231636,71.48925236184411,3,15,0,Cloudy,Peshawar,P-48
University Road,34.024329272904346,71.48906374827877,2,9,1,Clear,Peshawar,P-49
University Road,34.02447093638922,71.48906039742508,2,12,0,Clear,Peshawar,P-50
University Road,34.02542856003819,71.48674451044414,1,18,1,Clear,Peshawar,P-51
University Road,34.03007807191479,71.49258682751665,3,7,1,Cloudy,Peshawar,P-52
University Road,34.02124971482669,71.48927290862954,3,16,0,Fog,Peshawar,P-53
University Road,34.02375636184449,71.49222260346122,3,8,1,Clear,Peshawar,P-54
University Road,34.028830908480565,71.48970996342192,2,7,1,Clear,Peshawar,P-55
University Road,34.02605459253092,71.49220270197296,3,8,1,Fog,Peshawar,P-56
University Road,34.027833822298376,71.48748466106876,3,10,0,Clear,Peshawar,P-57
University Road,34.02482521607759,71.49264401136095,1,6,0,Clear,Peshawar,P-58
University Road,34.02479486369722,71.48640443363607,1,11,0,Clear,Peshawar,P-59
University Road,34.02504317570692,71.48796867045749,2,14,0,Cloudy,Peshawar,P-60
University Road,34.023336982697906,71.48982420694853,3,11,0,Rain,Peshawar,P-61
University Road,34.026594325393575,71.48915218965566,1,15,0,Clear,Peshawar,P-62
University Road,34.02956606674931,71.48499582440095,2,9,1,Cloudy,Peshawar,P-63
University Road,34.024327134467896,71.48931519652257,4,9,1,Fog,Peshawar,P-64
University Road,34.02412127048611,71.49059920419404,2,18,1,Clear,Peshawar,P-65
University Road,34.02602402782389,71.49006262826808,2,16,0,Cloudy,Peshawar,P-66
University Road,34.02679458721025,71.49012074053087,3,8,1,Clear,Peshawar,P-67
University Road,34.023961594543636,71.4912238746355,4,10,0,Clear,Peshawar,P-68
University Road,34.02695083269798,71.49052701927201,4,18,1,Clear,Peshawar,P-69
University Road,34.024253623812825,71.49079828597556,2,19,1,Cloudy,Peshawar,P-70
University Road,34.02594833270498,71.48863971389126,3,9,1,Clear,Peshawar,P-71
University Road,34.02171590979973,71.48800645297642,4,13,0,Cloudy,Peshawar,P-72
University Road,34.0265482396341,71.49015669101853,2,15,0,Rain,Peshawar,P-73
University Road,34.02111996450274,71.49244086303314,1,11,0,Clear,Peshawar,P-74
University Road,34.02612586290855,71.48777255089439,3,9,1,Clear,Peshawar,P-75
University Road,34.02443339318619,71.48930764545506,3,6,0,Clear,Peshawar,P-76
University Road,34.02240383131701,71.48608507245125,3,16,0,Clear,Peshawar,P-77
University Road,34.02397154511339,71.4916202227325,3,20,0,Fog,Peshawar,P-78
University Road,34.0270153192464,71.48858012294008,1,17,1,Cloudy,Peshawar,P-79
Jamrud Road,34.01534227645196,71.47654172620292,1,11,0,Clear,Peshawar,P-80
Jamrud Road,34.01418028798342,71.47419755905622,2,21,0,Clear,Peshawar,P-81
Jamrud Road,34.012939305329034,71.47696700861272,2,21,0,Clear,Peshawar,P-82
Jamrud Road,34.01284902034852,71.47599599658248,4,5,0,Cloudy,Peshawar,P-83
Jamrud Road,34.015200823096826,71.47863217558049,3,16,0,Clear,Peshawar,P-84
Jamrud Road,34.01717960586643,71.47338340342928,4,4,0,Clear,Peshawar,P-85
Jamrud Road,34.01486520080803,71.47137973735,2,7,1,Clear,Peshawar,P-86
Jamrud Road,34.013483511951556,71.47875234167843,1,21,0,Fog,Peshawar,P-87
Jamrud Road,34.01428392603306,71.47795331725085,2,17,1,Cloudy,Peshawar,P-88
Jamrud Road,34.015158880241444,71.47406164869578,2,20,0,Rain,Peshawar,P-89
Jamrud Road,34.01348184439712,71.47482717298634,4,7,1,Cloudy,Peshawar,P-90
Jamrud Road,34.00961114468241,71.4738012499541,3,18,1,Clear,Peshawar,P-91
Jamrud Road,34.01583246664587,71.47562491696219,1,18,1,Rain,Peshawar,P-92
Jamrud Road,34.010664759141235,71.47471524102995,4,18,1,Clear,Peshawar,P-93
Jamrud Road,34.01492089362822,71.47808274199383,4,14,0,Clear,Peshawar,P-94
Jamrud Road,34.015902303951044,71.47523134926858,2,6,0,Cloudy,Peshawar,P-95
Jamrud Road,34.014853159693104,71.47533217626501,2,18,1,Cloudy,Peshawar,P-96
Jamrud Road,34.01409075189917,71.47773726311506,2,6,0,Clear,Peshawar,P-97
Jamrud Road,34.009338253792464,71.47788867758396,3,7,1,Clear,Peshawar,P-98
Jamrud Road,34.01580471410419,71.47514818956084,2,19,1,Clear,Peshawar,P-99
Jamrud Road,34.01277056348273,71.47659281085939,2,14,0,Rain,Peshawar,P-100
Jamrud Road,34.00866511579992,71.47482175992097,2,11,0,Fog,Peshawar,P-101
Jamrud Road,34.01059749619031,71.47597534654984,3,8,1,Clear,Peshawar,P-102
Jamrud Road,34.01082854790733,71.47600809303103,2,19,1,Clear,Peshawar,P-103
Jamrud Road,34.011169001853425,71.47388194901353,2,4,0,Clear,Peshawar,P-104
Jamrud Road,34.01169270138931,71.47260424421482,1,6,0,Clear,Peshawar,P-105
Jamrud Road,34.01382917798138,71.47740927014515,2,16,0,Clear,Peshawar,P-106
Jamrud Road,34.012575343900615,71.47455806080093,1,18,1,Fog,Peshawar,P-107
Jamrud Road,34.011705440327326,71.47254389196175,3,17,1,Clear,Peshawar,P-108
Jamrud Road,34.016089935427004,71.47450192792088,2,14,0,Clear,Peshawar,P-109
Jamrud Road,34.012857241119136,71.4769372463126,1,8,1,Cloudy,Peshawar,P-110
Jamrud Road,34.009587107359486,71.47540692727173,2,6,0,Clear,Peshawar,P-111
Jamrud Road,34.0106774747341,71.47369125330776,2,9,1,Clear,Peshawar,P-112
Jamrud Road,34.016174283270146,71.47676327951389,2,6,0,Rain,Peshawar,P-113
Jamrud Road,34.01754865880698,71.47702906538537,3,11,0,Clear,Peshawar,P-114
Khyber Road,34.01185235509506,71.58181883328095,2,8,1,Clear,Peshawar,P-115
Khyber Road,34.00927715432115,71.57752301326524,2,22,0,Cloudy,Peshawar,P-116
Khyber Road,34.00881521215152,71.57627201846064,2,8,1,Clear,Peshawar,P-117
Khyber Road,34.004994480956675,71.57936928440311,2,19,1,Clear,Peshawar,P-118
Khyber Road,34.00884645733886,71.57951078245165,4,6,0,Clear,Peshawar,P-119
Khyber Road,34.014086640979365,71.58123922431088,2,15,0,Fog,Peshawar,P-120
Khyber Road,34.00847348168691,71.57439023579867,2,17,1,Clear,Peshawar,P-121
Khyber Road,34.00695141893366,71.57959547262917,2,8,1,Clear,Peshawar,P-122
Khyber Road,34.00869632778439,71.57809479734263,2,7,1,Clear,Peshawar,P-123
Khyber Road,34.008796062642205,71.57952050218927,2,6,0,Clear,Peshawar,P-124
Khyber Road,34.005056710999746,71.57640620948906,3,17,1,Cloudy,Peshawar,P-125
Khyber Road,34.01033945856878,71.5781787878383,2,19,1,Rain,Peshawar,P-126
Khyber Road,34.01233556412332,71.5785088416866,2,5,0,Cloudy,Peshawar,P-127
Khyber Road,34.0093630429787,71.57736188595787,2,17,1,Clear,Peshawar,P-128
Khyber Road,34.011742249406865,71.57734795293567,3,15,0,Cloudy,Peshawar,P-129
Khyber Road,34.00864717395903,71.57353934018475,2,17,1,Clear,Peshawar,P-130
Khyber Road,34.010653854747524,71.57756179894238,2,17,1,Cloudy,Peshawar,P-131
Khyber Road,34.00823036811616,71.57857388252245,2,12,0,Fog,Peshawar,P-132
Khyber Road,34.010676992814986,71.5771694241722,4,14,0,Clear,Peshawar,P-133
Khyber Road,34.009025209952156,71.57880764111736,3,12,0,Rain,Peshawar,P-134
Khyber Road,34.01014313247444,71.57704468510647,2,8,1,Cloudy,Peshawar,P-135
Khyber Road,34.0125739499277,71.57711072488351,3,18,1,Clear,Peshawar,P-136
Khyber Road,34.01173921184021,71.58071127571762,2,8,1,Cloudy,Peshawar,P-137
Khyber Road,34.007883229194306,71.57697417125006,3,12,0,Clear,Peshawar,P-138
Khyber Road,34.01130873131271,71.57788883065818,4,13,0,Clear,Peshawar,P-139
Khyber Road,34.009594307560654,71.5780938308699,2,13,0,Cloudy,Peshawar,P-140
Khyber Road,34.010962018463474,71.57844776804856,3,20,0,Cloudy,Peshawar,P-141
Khyber Road,34.0073171096844,71.58177365622426,3,7,1,Cloudy,Peshawar,P-142
Khyber Road,34.00802079035948,71.5777484261598,3,20,0,Fog,Peshawar,P-143
Khyber Road,34.01507738220347,71.57904790533422,4,18,1,Clear,Peshawar,P-144
Khyber Road,34.00797579124948,71.57469028665628,2,4,0,Clear,Peshawar,P-145
Khyber Road,34.01254025109315,71.57636305156592,2,19,1,Clear,Peshawar,P-146
Khyber Road,34.00950851387183,71.5774545528605,2,8,1,Clear,Peshawar,P-147
Khyber Road,34.01216091973801,71.57431018951941,2,10,0,Fog,Peshawar,P-148
Khyber Road,34.009462222618886,71.57578694818253,3,1,0,Cloudy,Peshawar,P-149
Khyber Road,34.00864486757453,71.57829857312694,1,23,0,Cloudy,Peshawar,P-150
Khyber Road,34.00885267598624,71.57690628211752,3,7,1,Rain,Peshawar,P-151
Khyber Road,34.01277716453808,71.57268129728591,1,11,0,Cloudy,Peshawar,P-152
Khyber Road,34.009314624811836,71.57725711826801,2,10,0,Cloudy,Peshawar,P-153
Khyber Road,34.01166644775524,71.57534692196778,3,20,0,Clear,Peshawar,P-154
Khyber Road,34.011871356786294,71.58054311018999,2,2,0,Clear,Peshawar,P-155
Khyber Road,34.010197491555274,71.57773930970802,1,8,1,Clear,Peshawar,P-156
Khyber Road,34.00951934920368,71.5772503583849,2,15,0,Clear,Peshawar,P-157
Khyber Road,34.01329279448536,71.57598582127139,3,18,1,Rain,Peshawar,P-158
Khyber Road,34.01065226604448,71.57549777284723,2,8,1,Rain,Peshawar,P-159
Khyber Road,34.0075169975381,71.5763673891819,2,19,1,Rain,Peshawar,P-160
Khyber Road,34.007439141295,71.58150958836397,2,13,0,Clear,Peshawar,P-161
Khyber Road,34.01194364538034,71.57793808349874,2,10,0,Clear,Peshawar,P-162
Khyber Road,34.01061560353778,71.57457966321469,3,10,0,Clear,Peshawar,P-163
Khyber Road,34.007423105240484,71.5782016348445,3,8,1,Clear,Peshawar,P-164
Saddar Road,34.00881650551143,71.57159483279153,4,6,0,Cloudy,Peshawar,P-165
Saddar Road,34.011241066890335,71.57814098927052,3,18,1,Clear,Peshawar,P-166
Saddar Road,34.00431825153734,71.57244084606653,3,7,1,Fog,Peshawar,P-167
Saddar Road,34.00730397382741,71.5753971167258,2,4,0,Clear,Peshawar,P-168
Saddar Road,34.00615353350778,71.57229663078877,3,8,1,Clear,Peshawar,P-169
Saddar Road,34.012162629313536,71.57439089272303,3,8,1,Cloudy,Peshawar,P-170
Saddar Road,34.00684872434753,71.5752440196293,4,16,0,Clear,Peshawar,P-171
Saddar Road,34.0072956540328,71.57548504085123,2,14,0,Clear,Peshawar,P-172
Saddar Road,34.00674606588443,71.578624897116,1,16,0,Clear,Peshawar,P-173
Saddar Road,34.00582443812948,71.5768589650147,2,17,1,Rain,Peshawar,P-174
Saddar Road,34.007851133141806,71.57624134419511,2,9,1,Clear,Peshawar,P-175
Saddar Road,34.00963339703543,71.57623732391943,2,12,0,Rain,Peshawar,P-176
Saddar Road,34.00785966857708,71.57167807813298,3,16,0,Rain,Peshawar,P-177
Saddar Road,34.00963696946928,71.5752676953085,2,22,0,Fog,Peshawar,P-178
Saddar Road,34.007920889692286,71.57636300139475,1,16,0,Clear,Peshawar,P-179
Saddar Road,34.005189680155276,71.57600206668704,3,18,1,Clear,Peshawar,P-180
Saddar Road,34.01051151225115,71.57321078539556,2,5,0,Cloudy,Peshawar,P-181
Saddar Road,34.006698830316886,71.57708709181857,1,8,1,Cloudy,Peshawar,P-182
Saddar Road,34.008164567978554,71.57713096075014,3,18,1,Cloudy,Peshawar,P-183
Mall Road,34.010980284845,71.53503077684184,4,9,1,Rain,Peshawar,P-184
Mall Road,34.0111089949572,71.54290676895424,3,18,1,Fog,Peshawar,P-185
Mall Road,34.01139927902382,71.53839042616669,2,16,0,Clear,Peshawar,P-186
Mall Road,34.01193063022523,71.54046842946508,2,8,1,Clear,Peshawar,P-187
Mall Road,34.011668553893706,71.53834883031396,2,15,0,Clear,Peshawar,P-188
Mall Road,34.009754555956874,71.54076481949238,3,20,0,Clear,Peshawar,P-189
Mall Road,34.01433420582877,71.54324221711558,4,8,1,Fog,Peshawar,P-190
Mall Road,34.01075371894715,71.53888904576169,2,8,1,Clear,Peshawar,P-191
Mall Road,34.01125320146325,71.53765285958598,3,9,1,Clear,Peshawar,P-192
Mall Road,34.01089555391144,71.54126586363552,3,16,0,Clear,Peshawar,P-193
Mall Road,34.01031977984283,71.54032939565488,2,12,0,Cloudy,Peshawar,P-194
Mall Road,34.01257173078145,71.54066891357998,3,8,1,Clear,Peshawar,P-195
Mall Road,34.00850290603009,71.53748531939915,3,12,0,Clear,Peshawar,P-196
Mall Road,34.01096477740193,71.54044757590329,2,16,0,Clear,Peshawar,P-197
Mall Road,34.0144112561559,71.54068627010204,3,11,0,Clear,Peshawar,P-198
Mall Road,34.01316785637065,71.53928141581844,2,15,0,Cloudy,Peshawar,P-199
Mall Road,34.012811235186284,71.54143001402761,3,15,0,Rain,Peshawar,P-200
Mall Road,34.01476431798208,71.54129741977519,3,16,0,Cloudy,Peshawar,P-201
Mall Road,34.01125935326281,71.53833288202544,2,18,1,Rain,Peshawar,P-202
Mall Road,34.01205748964587,71.54255690372523,3,7,1,Rain,Peshawar,P-203
Mall Road,34.012049284196856,71.54017991229625,1,8,1,Cloudy,Peshawar,P-204
Mall Road,34.0113844435301,71.54043830065534,2,15,0,Cloudy,Peshawar,P-205
Mall Road,34.014417963888214,71.53711701150388,3,12,0,Fog,Peshawar,P-206
Mall Road,34.0111071327709,71.5403881799858,4,6,0,Fog,Peshawar,P-207
Mall Road,34.00838008219804,71.54193002992213,2,16,0,Clear,Peshawar,P-208
Mall Road,34.010882156305456,71.54075442375013,3,4,0,Rain,Peshawar,P-209
Mall Road,34.011737923186004,71.53592951951876,3,2,0,Clear,Peshawar,P-210
Mall Road,34.00910397219917,71.53560238808677,3,16,0,Clear,Peshawar,P-211
Mall Road,34.014243706378856,71.5426210876494,2,17,1,Cloudy,Peshawar,P-212
Mall Road,34.01330040235592,71.53980164827244,2,20,0,Clear,Peshawar,P-213
Mall Road,34.01379577707752,71.53958686566314,2,15,0,Clear,Peshawar,P-214
Mall Road,34.00949692115162,71.54288752920816,2,7,1,Clear,Peshawar,P-215
Shami Road,34.0324154310825,71.51644508016058,4,7,1,Rain,Peshawar,P-216
Shami Road,34.0313930423394,71.51641800751517,3,17,1,Cloudy,Peshawar,P-217
Shami Road,34.03174995587668,71.5134852009662,3,11,0,Clear,Peshawar,P-218
Shami Road,34.031256208829824,71.51363789668505,2,7,1,Clear,Peshawar,P-219
Shami Road,34.030446202320405,71.51494922190723,2,17,1,Clear,Peshawar,P-220
Shami Road,34.027832194353024,71.51652082931228,1,9,1,Clear,Peshawar,P-221
Shami Road,34.0309516460458,71.51385799056072,3,18,1,Rain,Peshawar,P-222
Shami Road,34.030992794921815,71.51268327062162,2,8,1,Fog,Peshawar,P-223
Shami Road,34.02924736266405,71.51507532046634,3,16,0,Cloudy,Peshawar,P-224
Shami Road,34.02899675998021,71.51443779941422,2,3,0,Clear,Peshawar,P-225
Shami Road,34.03001307436727,71.51411003335726,2,16,0,Rain,Peshawar,P-226
Shami Road,34.03111926073984,71.51370612644459,2,15,0,Cloudy,Peshawar,P-227
Shami Road,34.029841073451855,71.51717801996357,3,18,1,Cloudy,Peshawar,P-228
Shami Road,34.033634788131266,71.51539519920938,3,5,0,Rain,Peshawar,P-229
Shami Road,34.030260956766355,71.51540909879218,2,15,0,Cloudy,Peshawar,P-230
Shami Road,34.03035930538361,71.5158483318928,1,8,1,Clear,Peshawar,P-231
Shami Road,34.0322373730957,71.51725864887509,4,9,1,Clear,Peshawar,P-232
Shami Road,34.03107600695633,71.51524006265343,2,13,0,Cloudy,Peshawar,P-233
Shami Road,34.03318209220433,71.51477853314184,2,15,0,Clear,Peshawar,P-234
Shami Road,34.028548468673996,71.51207125023959,3,17,1,Clear,Peshawar,P-235
Shami Road,34.02787638627721,71.51900347420506,4,4,0,Rain,Peshawar,P-236
Shami Road,34.03065474540012,71.51676731987497,3,11,0,Rain,Peshawar,P-237
Shami Road,34.03206571978563,71.51249238353242,2,13,0,Fog,Peshawar,P-238
Shami Road,34.03198806037256,71.51552134753165,3,16,0,Clear,Peshawar,P-239
Shami Road,34.03164760025521,71.51441702004202,2,8,1,Fog,Peshawar,P-240
Shami Road,34.03254339742129,71.50930291475873,2,8,1,Rain,Peshawar,P-241
Shami Road,34.031748560111154,71.51482631044574,2,13,0,Clear,Peshawar,P-242
Shami Road,34.030064597597374,71.51569300776346,2,15,0,Clear,Peshawar,P-243
Shami Road,34.026809684954635,71.51550834778449,4,10,0,Clear,Peshawar,P-244
Circular Road,34.016302695731184,71.58430148459135,2,14,0,Cloudy,Peshawar,P-245
Circular Road,34.01942901857061,71.5848209547795,1,16,0,Cloudy,Peshawar,P-246
Circular Road,34.01648191570836,71.58460730030183,3,13,0,Rain,Peshawar,P-247
Circular Road,34.01673816805447,71.58293009027093,2,4,0,Cloudy,Peshawar,P-248
Circular Road,34.01883265534941,71.58569297695179,4,8,1,Cloudy,Peshawar,P-249
Circular Road,34.01525773247193,71.5858067800467,2,12,0,Clear,Peshawar,P-250
Circular Road,34.018225547810125,71.58289316887365,1,8,1,Cloudy,Peshawar,P-251
Circular Road,34.019146174690825,71.58467207824079,4,6,0,Cloudy,Peshawar,P-252
Circular Road,34.01730083781029,71.58572992200493,2,16,0,Rain,Peshawar,P-253
Circular Road,34.016102158344786,71.58513499707175,2,14,0,Rain,Peshawar,P-254
Circular Road,34.01827746044406,71.58271399017454,4,16,0,Cloudy,Peshawar,P-255
Circular Road,34.01901028514656,71.58449523991307,2,15,0,Clear,Peshawar,P-256
Circular Road,34.01651168672942,71.58692817433658,3,13,0,Cloudy,Peshawar,P-257
Circular Road,34.01844293254757,71.58627079386443,2,15,0,Rain,Peshawar,P-258
Circular Road,34.01665385635143,71.58503115809516,2,17,1,Clear,Peshawar,P-259
Circular Road,34.015229673002004,71.58810512363097,2,9,1,Clear,Peshawar,P-260
Circular Road,34.020284030320276,71.58701963417867,2,8,1,Clear,Peshawar,P-261
Circular Road,34.017118284244546,71.58725223405203,3,11,0,Clear,Peshawar,P-262
Circular Road,34.014220855066476,71.58170920250608,2,2,0,Clear,Peshawar,P-263
Circular Road,34.01835994615104,71.58615093733498,2,12,0,Cloudy,Peshawar,P-264
Circular Road,34.018517857179575,71.58556238284794,3,20,0,Clear,Peshawar,P-265
Circular Road,34.01662220662443,71.58610614655288,2,19,1,Clear,Peshawar,P-266
Circular Road,34.0150228177857,71.58279282136556,2,11,0,Clear,Peshawar,P-267
Circular Road,34.020029035125184,71.58654616637835,3,12,0,Clear,Peshawar,P-268
Circular Road,34.018100104198055,71.58306331109027,2,10,0,Clear,Peshawar,P-269
Circular Road,34.017320952414,71.58312554390233,2,12,0,Cloudy,Peshawar,P-270
Circular Road,34.01744782826813,71.58772828085993,2,21,0,Clear,Peshawar,P-271
Circular Road,34.019412306791345,71.58576794310508,1,14,0,Fog,Peshawar,P-272
Kohat Road,33.98751227352922,71.52861418960441,2,14,0,Clear,Peshawar,P-273
Kohat Road,33.9936391460934,71.52834361203747,3,8,1,Rain,Peshawar,P-274
Kohat Road,33.98762480316194,71.53061964142046,1,14,0,Clear,Peshawar,P-275
Kohat Road,33.992449168875254,71.5332467931246,3,18,1,Clear,Peshawar,P-276
Kohat Road,33.9898234359033,71.5351594186753,2,8,1,Clear,Peshawar,P-277
Kohat Road,33.98712876234357,71.52617378714965,4,6,0,Cloudy,Peshawar,P-278
Kohat Road,33.99113796615837,71.53325679324625,3,16,0,Fog,Peshawar,P-279
Kohat Road,33.98779844143433,71.52857740275049,2,5,0,Clear,Peshawar,P-280
Kohat Road,33.99046757182359,71.52688820870759,2,5,0,Cloudy,Peshawar,P-281
Kohat Road,33.98765479348628,71.52753306379743,3,15,0,Cloudy,Peshawar,P-282
Kohat Road,33.99334514477368,71.53083803801873,3,23,0,Cloudy,Peshawar,P-283
Kohat Road,33.98801861522273,71.53125882716978,2,5,0,Cloudy,Peshawar,P-284
Kohat Road,33.988528940114826,71.53247218635042,2,6,0,Clear,Peshawar,P-285
Kohat Road,33.98893218179737,71.52718571194757,3,17,1,Fog,Peshawar,P-286
Kohat Road,33.99242619539996,71.53028343382728,2,23,0,Fog,Peshawar,P-287
Kohat Road,33.98894506135277,71.53072335317084,2,14,0,Clear,Peshawar,P-288
Kohat Road,33.98842802107899,71.52733753409288,3,17,1,Cloudy,Peshawar,P-289
Kohat Road,33.98830380260132,71.5267979614046,1,20,0,Cloudy,Peshawar,P-290
Kohat Road,33.989987858176924,71.5316769815489,2,14,0,Cloudy,Peshawar,P-291
Kohat Road,33.989122825587486,71.53233260549447,4,18,1,Clear,Peshawar,P-292
Kohat Road,33.988663819092714,71.53198408469908,3,18,1,Rain,Peshawar,P-293
Kohat Road,33.98792684816729,71.53262613703117,1,10,0,Clear,Peshawar,P-294
Kohat Road,33.98994994608251,71.5316355325984,4,15,0,Rain,Peshawar,P-295
Kohat Road,33.9849485627328,71.53012791357382,3,17,1,Clear,Peshawar,P-296
Kohat Road,33.990113299849796,71.53105938550871,2,9,1,Clear,Peshawar,P-297
Kohat Road,33.984223457589614,71.53058653862827,4,10,0,Clear,Peshawar,P-298
Kohat Road,33.99306150166469,71.5324375237034,2,15,0,Clear,Peshawar,P-299
Kohat Road,33.98862266649007,71.5298746860876,2,5,0,Rain,Peshawar,P-300
Kohat Road,33.98877319467292,71.52939506062702,4,4,0,Cloudy,Peshawar,P-301
Kohat Road,33.98693140274723,71.53182487049853,3,5,0,Cloudy,Peshawar,P-302
Kohat Road,33.98726624260317,71.52955046919621,3,12,0,Clear,Peshawar,P-303
Kohat Road,33.99175728701945,71.53152439680159,2,10,0,Rain,Peshawar,P-304
Kohat Road,33.9889075111035,71.53078360801081,1,10,0,Clear,Peshawar,P-305
Kohat Road,33.98801178753392,71.52993812200569,2,7,1,Clear,Peshawar,P-306
Kohat Road,33.98994539092098,71.52813346408186,2,10,0,Rain,Peshawar,P-307
Kohat Road,33.98539460602091,71.52911010847976,2,9,1,Cloudy,Peshawar,P-308
Kohat Road,33.98866185452268,71.53207980937479,2,11,0,Rain,Peshawar,P-309
Kohat Road,33.989823314681985,71.53184269920597,3,10,0,Clear,Peshawar,P-310
Kohat Road,33.9926034825788,71.53312302239345,3,15,0,Rain,Peshawar,P-311
Kohat Road,33.9901772933948,71.53344425721137,1,12,0,Clear,Peshawar,P-312
Kohat Road,33.98926935689738,71.53036936061173,3,4,0,Clear,Peshawar,P-313
Kohat Road,33.98839501453358,71.53259762264969,1,1,0,Fog,Peshawar,P-314
Kohat Road,33.987906178034635,71.53107330550506,2,9,1,Rain,Peshawar,P-315
Kohat Road,33.988436574958776,71.53175918517597,2,6,0,Cloudy,Peshawar,P-316
Kohat Road,33.991992095371614,71.52848640982286,1,5,0,Fog,Peshawar,P-317
Kohat Road,33.99056235912454,71.52814875830045,3,9,1,Clear,Peshawar,P-318
Kohat Road,33.98871296353924,71.53185568025616,3,15,0,Cloudy,Peshawar,P-319
Kohat Road,33.99149160250212,71.53118685834639,4,14,0,Cloudy,Peshawar,P-320
Kohat Road,33.98791038161196,71.52606728682125,3,6,0,Clear,Peshawar,P-321
Kohat Road,33.98903237773692,71.52933708740456,2,14,0,Fog,Peshawar,P-322
Kohat Road,33.99172094697672,71.52883384512286,2,18,1,Cloudy,Peshawar,P-323
Kohat Road,33.99167512540672,71.52837270928788,3,18,1,Fog,Peshawar,P-324
